"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","702","Deve simular um erro de dados inválidos - Intercept","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
"","2579","Deve fazer login com sucesso com usuário comum - Intercept","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
"","1880","Deve fazer login com sucesso com usuário admin - comando customizado","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
"","689","Deve simular um erro do servidor - Intercept","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
"","254","Deve exibir as reservas via intercept","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
"","687","Deve simular um erro de credenciais inválidas - Intercept","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
"","1838","Deve fazer login com sucesso com usuário comum - comando customizado","Funcionalidade: Administrar Reservas de livros","2026-08-13","passed","2026-08-13","","","",""
